CNBAP.Messages.per.sec.HH	WH.CNBAP_Messages_per_sec_HH
HSDPA.R99.DL.Traffic.MB	WH.HSDPA_R99_DL_Traffic_MB
HSUPA.R99.UL.Traffic.MB	WH.HSUPA_R99_UL_Traffic_MB
OLA.AMR.Block.Calls	WH.OLA_AMR_Block_Calls
OLA.Data.AFR	WH.OLA_Data_AFR
OLA.Data.AFR.DCHSetupsAndPSServs	WH.OLA_Data_AFR_DCHSetupsAndPSServs
OLA.Data.AFR.StateFailures	WH.OLA_Data_AFR_StateFailures
OLA.Data.DCR	WH.OLA_Data_DCR
OLA.HSDPA.Data.Volume	WH.OLA_HSDPA_Data_Volume
OLA.HSUPA.Data.Volume	WH.OLA_HSUPA_Data_Volume
OLA.Total.Data.Calls	WH.OLA_Total_Data_Calls
OLA.Total.Data.Drops	WH.OLA_Total_Data_Drops
OLA.Total.Voice.Calls	WH.OLA_Total_Voice_Calls
OLA.Total.Voice.Drops	WH.OLA_Total_Voice_Drops
OLA.Voice.AFR	WH.OLA_Voice_AFR
OLA.Voice.AFR.Denom	WH.OLA_Voice_AFR_Denom
OLA.Voice.AFR.Numer	WH.OLA_Voice_AFR_Numer
OLA.Voice.DCR	WH.OLA_Voice_DCR
SLA.Avg.DL.Throu	WH.SLA_Avg_DL_Throu
SLA.Avg.DL.Throu.Denom	WH.SLA_Avg_DL_Throu_Denom
SLA.Avg.DL.Throu.Numer	WH.SLA_Avg_DL_Throu_Numer
SLA.Avg.UL.Throu	WH.SLA_Avg_UL_Throu
SLA.Avg.UL.Throu.Denom	WH.SLA_Avg_UL_Throu_Denom
SLA.Avg.UL.Throu.Numer	WH.SLA_Avg_UL_Throu_Numer
SLA.Data.Blocked.Call.Rate	WH.SLA_Data_Blocked_Call_Rate
SLA.Data.DCR	WH.SLA_Data_DCR
SLA.Voice.Blocked.Call.Rate	WH.SLA_Voice_Blocked_Call_Rate
SLA.Voice.Blocked.Call.Rate.Denom	WH.SLA_Voice_Blocked_Call_Rate_Denom
SLA.Voice.Blocked.Call.Rate.Numer	WH.SLA_Voice_Blocked_Call_Rate_Numer
SLA.Voice.DCR	WH.SLA_Voice_DCR
SLA.VoiceBCR.RABCongRatio	WH.SLA_VoiceBCR_RABCongRatio
SLA.VoiceBCR.RRCCongRatio	WH.SLA_VoiceBCR_RRCCongRatio
SLA.VoiceBCR.RRCGoodRatio	WH.SLA_VoiceBCR_RRCGoodRatio
VS.HSDPA.Mean.Thrpt	WH.VS_HSDPA_Mean_Thrpt
VS.HSUPA.Mean.Thrpt	WH.VS_HSUPA_Mean_Thrpt
VS.MeanRTWP	WH.VS_MeanRTWP
TELUS.HSDPA.MeanUE.Throughput	WH.TELUS_HSDPA_MeanUE_Throughput
TELUS.HSUPA.MeanUE.Throughput	WH.TELUS_HSUPA_MeanUE_Throughput
